cond,n,refusal_rate,faithful_all,faithful_answered,correct_all,correct_answered
A,200,0.06,0.905,0.925531914893617,0.875,0.9148936170212766
B,200,0.2,0.86,0.89375,0.78,0.85625
C,200,0.31,0.715,0.8840579710144928,0.575,0.7753623188405797
D,200,0.19,0.81,0.8333333333333334,0.72,0.7839506172839507
E,200,0.155,0.88,0.8757396449704142,0.77,0.8461538461538461
F,200,0.16,0.865,0.9107142857142857,0.7,0.8035714285714286
G,200,0.175,0.86,0.9151515151515152,0.69,0.806060606060606
H,200,0.125,0.9,0.9085714285714286,0.75,0.8514285714285714
