cond,condition,n,gold_in_context,correct,faithful,token_f1,refusal,prompt_tokens,gen_seconds
A,MSA · retrieval · k=5,200,0.95,0.875,0.905,0.45799536359571147,0.06,1657.43,1.262117211818695
B,Darija · retrieval · k=5,200,0.905,0.78,0.86,0.37005747839107533,0.2,1659.48,1.1315204286575318
C,Darija · retrieval · k=1,200,0.62,0.575,0.715,0.3116234334604599,0.31,447.245,0.46763777375221255
D,Darija · normalised · k=5,200,0.87,0.72,0.81,0.34080536912032827,0.19,1666.38,1.0547447896003723
E,Darija · reranked · k=5,200,0.96,0.77,0.88,0.37021380073517635,0.155,1673.295,1.0822986519336701
F,Darija · reranked · k=1,200,0.8,0.7,0.865,0.39696219774628294,0.16,449.695,0.4582302784919739
G,Darija · gated · k=1,200,0.79,0.69,0.86,0.39142973021381544,0.175,449.26,0.4642605865001678
H,Darija · gold passage,200,1.0,0.75,0.9,0.4316092599947277,0.125,449.375,0.47048413038253784
