comparison,metric,diff,lo,hi,significant
C1_msa_base - C2_darija_base,correct,0.04411764705882353,-0.029411764705882353,0.11764705882352941,no
C1_msa_base - C2_darija_base,faithful,0.014705882352941176,-0.04411764705882353,0.07352941176470588,no
C3_darija_finetuned - C2_darija_base,correct,-0.04411764705882353,-0.1323529411764706,0.04411764705882353,no
C3_darija_finetuned - C2_darija_base,faithful,-0.058823529411764705,-0.1327205882352941,0.014705882352941176,no
C4_oracle - C2_darija_base,correct,0.058823529411764705,-0.015073529411764685,0.13272058823529378,no
C4_oracle - C2_darija_base,faithful,0.058823529411764705,-0.014705882352941176,0.1323529411764706,no
