seed,ablation,n_train,n_test,all_darija_before_R@1,all_darija_after_R@1,all_msa_before_R@1,all_msa_after_R@1,wikipedia_n,wikipedia_darija_before_R@1,wikipedia_darija_after_R@1,wikipedia_msa_after_R@1,pilot_n,pilot_darija_before_R@1,pilot_darija_after_R@1,pilot_msa_after_R@1,all_darija_before_R@5,all_darija_after_R@5,all_msa_before_R@5,all_msa_after_R@5,wikipedia_darija_before_R@5,wikipedia_darija_after_R@5,wikipedia_msa_after_R@5,pilot_darija_before_R@5,pilot_darija_after_R@5,pilot_msa_after_R@5,all_darija_before_MRR,all_darija_after_MRR,all_msa_before_MRR,all_msa_after_MRR,wikipedia_darija_before_MRR,wikipedia_darija_after_MRR,wikipedia_msa_after_MRR,pilot_darija_before_MRR,pilot_darija_after_MRR,pilot_msa_after_MRR
42,both,313,187,0.7433155080213903,0.8074866310160428,0.8716577540106952,0.8983957219251337,69,0.6811594202898551,0.7391304347826086,0.8260869565217391,118,0.7796610169491526,0.847457627118644,0.940677966101695,0.893048128342246,0.9411764705882353,0.9893048128342246,0.983957219251337,0.9420289855072463,0.927536231884058,0.9710144927536232,0.864406779661017,0.9491525423728814,0.9915254237288136,0.8051141668788728,0.8575078516254987,0.9229564553093965,0.9385918003565061,0.7800897170462389,0.8043478260869565,0.8939613526570049,0.8197471078827011,0.8885929513048156,0.9646892655367231
42,passage_only,313,187,0.7433155080213903,0.7700534759358288,0.8716577540106952,0.8770053475935828,69,0.6811594202898551,0.6956521739130435,0.782608695652174,118,0.7796610169491526,0.8135593220338984,0.9322033898305084,0.893048128342246,0.9197860962566845,0.9893048128342246,0.983957219251337,0.9420289855072463,0.9130434782608695,0.9565217391304348,0.864406779661017,0.923728813559322,1.0,0.8051141668788728,0.8306213394448688,0.9229564553093965,0.9235506323741617,0.7800897170462389,0.7781400966183576,0.8611686220381873,0.8197471078827011,0.8613095238095237,0.9600282485875706
42,paraphrase_only,313,187,0.7433155080213903,0.786096256684492,0.8716577540106952,0.8609625668449198,69,0.6811594202898551,0.6956521739130435,0.7391304347826086,118,0.7796610169491526,0.8389830508474576,0.9322033898305084,0.893048128342246,0.9251336898395722,0.9893048128342246,0.9786096256684492,0.9420289855072463,0.927536231884058,0.9565217391304348,0.864406779661017,0.923728813559322,0.9915254237288136,0.8051141668788728,0.8476381461675578,0.9229564553093965,0.9125795772854597,0.7800897170462389,0.790096618357488,0.8307108350586612,0.8197471078827011,0.8812853107344633,0.96045197740113
7,both,322,178,0.5955056179775281,0.6741573033707865,0.8146067415730337,0.848314606741573,73,0.5616438356164384,0.6027397260273972,0.7671232876712328,105,0.6190476190476191,0.7238095238095238,0.9047619047619048,0.8426966292134831,0.9213483146067416,0.9382022471910112,0.9438202247191011,0.9041095890410958,0.9041095890410958,0.9178082191780822,0.8,0.9333333333333333,0.9619047619047619,0.6942549491706795,0.7705992509363297,0.8689829677189228,0.8915953272694845,0.6881061100239182,0.7230593607305936,0.8292237442922374,0.6985298563869993,0.8036507936507936,0.9349584278155707
7,passage_only,322,178,0.5955056179775281,0.6853932584269663,0.8146067415730337,0.848314606741573,73,0.5616438356164384,0.6301369863013698,0.7534246575342466,105,0.6190476190476191,0.7238095238095238,0.9142857142857143,0.8426966292134831,0.8876404494382022,0.9382022471910112,0.949438202247191,0.9041095890410958,0.8767123287671232,0.9041095890410958,0.8,0.8952380952380953,0.9809523809523809,0.6942549491706795,0.7721508828250402,0.8689829677189228,0.8918606206527554,0.6881061100239182,0.7265003261578603,0.8226190476190476,0.6985298563869993,0.8038888888888889,0.9400000000000001
7,paraphrase_only,322,178,0.5955056179775281,0.6797752808988764,0.8146067415730337,0.8146067415730337,73,0.5616438356164384,0.589041095890411,0.6986301369863014,105,0.6190476190476191,0.7428571428571429,0.8952380952380953,0.8426966292134831,0.8932584269662921,0.9382022471910112,0.9550561797752809,0.9041095890410958,0.863013698630137,0.9041095890410958,0.8,0.9142857142857143,0.9904761904761905,0.6942549491706795,0.7723002496878901,0.8689829677189228,0.8745942571785268,0.6881061100239182,0.7000380517503805,0.7892694063926939,0.6985298563869993,0.8225396825396825,0.9339153439153439
123,both,340,160,0.625,0.69375,0.80625,0.8125,83,0.6144578313253012,0.6024096385542169,0.7108433734939759,77,0.6363636363636364,0.7922077922077922,0.922077922077922,0.85625,0.91875,0.94375,0.93125,0.8674698795180723,0.891566265060241,0.9036144578313253,0.8441558441558441,0.948051948051948,0.961038961038961,0.7191121031746032,0.7817708333333334,0.8626364087301586,0.8634275793650794,0.7205440810862497,0.7160642570281124,0.7916140753490152,0.7175685425685426,0.8525974025974027,0.9408369408369408
123,passage_only,340,160,0.625,0.69375,0.80625,0.8125,83,0.6144578313253012,0.6144578313253012,0.7108433734939759,77,0.6363636363636364,0.7792207792207793,0.922077922077922,0.85625,0.90625,0.94375,0.93125,0.8674698795180723,0.891566265060241,0.9036144578313253,0.8441558441558441,0.922077922077922,0.961038961038961,0.7191121031746032,0.7810069444444444,0.8626364087301586,0.8616815476190476,0.7205440810862497,0.7210843373493975,0.7883820998278829,0.7175685425685426,0.8455988455988457,0.9406926406926407
123,paraphrase_only,340,160,0.625,0.6625,0.80625,0.7875,83,0.6144578313253012,0.5903614457831325,0.6746987951807228,77,0.6363636363636364,0.7402597402597403,0.9090909090909091,0.85625,0.875,0.94375,0.925,0.8674698795180723,0.8433734939759037,0.8795180722891566,0.8441558441558441,0.9090909090909091,0.974025974025974,0.7191121031746032,0.756969246031746,0.8626364087301586,0.8468452380952382,0.7205440810862497,0.6972365653088545,0.7648881239242684,0.7175685425685426,0.8213564213564213,0.9351886209029067
2024,both,333,167,0.6946107784431138,0.8323353293413174,0.844311377245509,0.8802395209580839,58,0.6896551724137931,0.7068965517241379,0.7758620689655172,109,0.6972477064220184,0.8990825688073395,0.9357798165137615,0.8922155688622755,0.9580838323353293,0.9760479041916168,0.9820359281437125,0.9482758620689655,0.9310344827586207,0.9827586206896551,0.8623853211009175,0.9724770642201835,0.981651376146789,0.7791821119665431,0.887375249500998,0.9020625415834996,0.9214737192282103,0.8004789272030651,0.8079022988505747,0.8531609195402299,0.767849861657201,0.9296636085626913,0.9578236493374107
2024,passage_only,333,167,0.6946107784431138,0.8203592814371258,0.844311377245509,0.8682634730538922,58,0.6896551724137931,0.6896551724137931,0.7758620689655172,109,0.6972477064220184,0.8899082568807339,0.9174311926605505,0.8922155688622755,0.9580838323353293,0.9760479041916168,0.9820359281437125,0.9482758620689655,0.9482758620689655,0.9827586206896551,0.8623853211009175,0.963302752293578,0.981651376146789,0.7791821119665431,0.8792985457656115,0.9020625415834996,0.9150365934797072,0.8004789272030651,0.7951149425287355,0.8554597701149425,0.767849861657201,0.924093490607252,0.9467380224260958
