encoder,subset,variant,metric,value,lo,hi
multilingual-e5-base,wikipedia,msa_query,R@3,0.895,0.855,0.935
multilingual-e5-base,wikipedia,msa_query,R@5,0.95,0.915,0.98
multilingual-e5-base,wikipedia,msa_query,R@10,0.975,0.95,0.995
multilingual-e5-base,wikipedia,msa_query,MRR,0.8360892857142858,0.7975315476190478,0.8764005952380952
multilingual-e5-base,wikipedia,darija_query,R@1,0.62,0.55,0.68
multilingual-e5-base,wikipedia,darija_query,R@3,0.83,0.775,0.88
multilingual-e5-base,wikipedia,darija_query,R@5,0.905,0.865,0.945
multilingual-e5-base,wikipedia,darija_query,R@10,0.95,0.92,0.975
multilingual-e5-base,wikipedia,darija_query,MRR,0.7401646825396824,0.6882628968253969,0.7871455357142856
multilingual-e5-base,wikipedia,M4_rulebased,R@1,0.68,0.615,0.74
multilingual-e5-base,wikipedia,M4_rulebased,R@3,0.85,0.8,0.895
multilingual-e5-base,wikipedia,M4_rulebased,R@5,0.915,0.875,0.95
multilingual-e5-base,wikipedia,M4_rulebased,R@10,0.945,0.91,0.975
multilingual-e5-base,wikipedia,M4_rulebased,MRR,0.7802261904761905,0.7311913690476188,0.8258482142857143
multilingual-e5-base,wikipedia,M3_rule_expansion,R@1,0.63,0.565,0.7
multilingual-e5-base,wikipedia,M3_rule_expansion,R@3,0.82,0.765,0.8701249999999999
multilingual-e5-base,wikipedia,M3_rule_expansion,R@5,0.905,0.865,0.945
multilingual-e5-base,wikipedia,M3_rule_expansion,R@10,0.955,0.925,0.98
multilingual-e5-base,wikipedia,M3_rule_expansion,MRR,0.7434980158730159,0.6947421130952381,0.7913075892857144
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@1,0.83,0.7833333333333333,0.8733333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@3,0.9,0.8665833333333334,0.9333333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@5,0.9166666666666666,0.8866666666666667,0.9466666666666667
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,R@10,0.93,0.9,0.9566666666666667
paraphrase-multilingual-MiniLM-L12-v2,pilot,msa_query,MRR,0.8676388888888887,0.8319694444444443,0.901036111111111
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,R@1,0.6,0.5433333333333333,0.6533333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,R@3,0.73,0.6833333333333333,0.78
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,R@5,0.7666666666666667,0.72,0.8133333333333334
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,R@10,0.8133333333333334,0.77,0.86
paraphrase-multilingual-MiniLM-L12-v2,pilot,darija_query,MRR,0.672760582010582,0.6231166666666667,0.7200063161375662
paraphrase-multilingual-MiniLM-L12-v2,pilot,M4_rulebased,R@1,0.59,0.5366666666666666,0.6433333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,M4_rulebased,R@3,0.7233333333333334,0.6733333333333333,0.7766666666666666
paraphrase-multilingual-MiniLM-L12-v2,pilot,M4_rulebased,R@5,0.76,0.7165833333333333,0.8067499999999999
paraphrase-multilingual-MiniLM-L12-v2,pilot,M4_rulebased,R@10,0.8133333333333334,0.7666666666666667,0.8566666666666667
paraphrase-multilingual-MiniLM-L12-v2,pilot,M4_rulebased,MRR,0.6643108465608466,0.6156862433862433,0.7122808862433863
paraphrase-multilingual-MiniLM-L12-v2,pilot,M3_rule_expansion,R@1,0.59,0.54,0.6433333333333333
paraphrase-multilingual-MiniLM-L12-v2,pilot,M3_rule_expansion,R@3,0.7266666666666667,0.6733333333333333,0.7734166666666665
paraphrase-multilingual-MiniLM-L12-v2,pilot,M3_rule_expansion,R@5,0.76,0.71,0.8066666666666666
paraphrase-multilingual-MiniLM-L12-v2,pilot,M3_rule_expansion,R@10,0.8066666666666666,0.76325,0.85
paraphrase-multilingual-MiniLM-L12-v2,pilot,M3_rule_expansion,MRR,0.6667460317460318,0.617364880952381,0.7156113756613757
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,msa_query,R@1,0.7,0.635,0.765
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,msa_query,R@3,0.885,0.84,0.925125
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,msa_query,R@5,0.91,0.87,0.95
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,msa_query,R@10,0.95,0.915,0.98
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,msa_query,MRR,0.7961845238095236,0.7509437500000001,0.8412035714285715
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,darija_query,R@1,0.53,0.465,0.6
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,darija_query,R@3,0.735,0.675,0.8
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,darija_query,R@5,0.82,0.765,0.87
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,darija_query,R@10,0.87,0.82,0.915
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,darija_query,MRR,0.6446845238095239,0.5878612599206349,0.7030375496031744
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M4_rulebased,R@1,0.545,0.479875,0.6151249999999999
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M4_rulebased,R@3,0.725,0.66,0.785
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M4_rulebased,R@5,0.815,0.76,0.865
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M4_rulebased,R@10,0.86,0.81,0.905
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M4_rulebased,MRR,0.6495535714285714,0.5967076388888889,0.7067315972222222
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M3_rule_expansion,R@1,0.545,0.475,0.615
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M3_rule_expansion,R@3,0.72,0.654875,0.78
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M3_rule_expansion,R@5,0.81,0.75,0.865
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M3_rule_expansion,R@10,0.865,0.82,0.91
paraphrase-multilingual-MiniLM-L12-v2,wikipedia,M3_rule_expansion,MRR,0.6527321428571429,0.6009468253968253,0.7093547619047619
