subset,n,query,stage,R@1,R@5,MRR
wikipedia,69,msa_query,before,0.782608695652174,0.9855072463768116,0.8733264320220843
wikipedia,69,msa_query,after,0.855072463768116,0.9710144927536232,0.9080055210489993
wikipedia,69,darija_query,before,0.6811594202898551,0.9420289855072463,0.7800897170462389
wikipedia,69,darija_query,after,0.7101449275362319,0.927536231884058,0.7989130434782609
pilot,118,msa_query,before,0.923728813559322,0.9915254237288136,0.9519774011299436
pilot,118,msa_query,after,0.9322033898305084,0.9915254237288136,0.9583333333333333
pilot,118,darija_query,before,0.7796610169491526,0.864406779661017,0.8197471078827011
pilot,118,darija_query,after,0.847457627118644,0.940677966101695,0.8840395480225989
