comparison,metric,diff,lo,hi,significant
C1_msa_base - C2_darija_base,correct,0.1323529411764706,0.04411764705882353,0.22058823529411764,yes
C1_msa_base - C2_darija_base,faithful,0.10294117647058823,0.029411764705882353,0.19117647058823528,yes
C3_darija_finetuned - C2_darija_base,correct,0.0,-0.08823529411764706,0.07352941176470588,no
C3_darija_finetuned - C2_darija_base,faithful,-0.014705882352941176,-0.10294117647058823,0.058823529411764705,no
C4_oracle - C2_darija_base,correct,0.07352941176470588,-0.029411764705882353,0.19117647058823528,no
C4_oracle - C2_darija_base,faithful,0.10294117647058823,0.014705882352941176,0.22058823529411764,yes
