ablation,metric,darija_gain,darija_sd,msa_change
both,R@1,0.09366899566674669,0.03279316589065759,0.021715271549586725
both,R@5,0.06412489631769842,0.010890626198701145,-0.0024387946110165704
passage_only,R@1,0.08246291750967297,0.03732560779684552,0.013851510911962017
passage_only,R@5,0.050605248417680396,0.01624938244780177,-0.0025056752958747762
paraphrase_only,R@1,0.0794883543442638,0.03885261897615993,0.00011324371882663886
paraphrase_only,R@5,0.045350757849456746,0.019537525210195045,-0.004899203297253485
