metric,gap_before,gap_after,gap_after_lo,gap_after_hi,gap_closed,darija_gain,gain_lo,gain_hi,gain_significant,gap_eliminated
R@1,0.12834224598930483,0.10695187165775401,0.058823529411764705,0.16042780748663102,0.021390374331550818,0.053475935828877004,0.016042780748663103,0.10160427807486631,yes,no
R@5,0.0962566844919786,0.0481283422459893,0.0106951871657754,0.0855614973262032,0.0481283422459893,0.0427807486631016,0.0053475935828877,0.08021390374331551,yes,no
MRR,0.11784228843052373,0.08713394448688568,0.04894448688566336,0.13111678762414053,0.030708343943638056,0.047515066632713696,0.01756429844665139,0.07909106824548001,yes,no
