method,metric,gap,lo,hi,gap_significant
bge-reranker-v2-m3,MRR,0.052666666666666674,0.025995833333333336,0.080925,yes
no_rerank,MRR,0.0958513962602585,0.06486536726195202,0.12725300725890895,yes
mmarco-mMiniLMv2-L12-H384-v1,MRR,0.10280021367521368,0.06854842032967033,0.14233585164835166,yes
bge-reranker-base,MRR,0.13333832958407263,0.0845779369076486,0.17919466824133037,yes
bge-reranker-v2-m3,R@1,0.075,0.04,0.12,yes
no_rerank,R@1,0.135,0.09,0.18,yes
mmarco-mMiniLMv2-L12-H384-v1,R@1,0.15,0.095,0.21,yes
bge-reranker-base,R@1,0.155,0.08,0.23,yes
