cond,condition,n,gold_in_context,correct,token_f1,refusal,prompt_tokens,faithful_answered
A,MSA · retrieval · k=5,200,0.95,0.81,0.45799536359571147,0.06,1657.43,0.9414893617021277
B,Darija · retrieval · k=5,200,0.905,0.69,0.37005747839107533,0.2,1659.48,0.91875
C,Darija · retrieval · k=1,200,0.62,0.56,0.3116234334604599,0.31,447.245,0.8840579710144928
D,Darija · normalised · k=5,200,0.87,0.635,0.34080536912032827,0.19,1666.38,0.8580246913580247
E,Darija · reranked · k=5,200,0.96,0.685,0.37021380073517635,0.155,1673.295,0.8875739644970414
F,Darija · reranked · k=1,200,0.8,0.705,0.39696219774628294,0.16,449.695,0.9166666666666666
G,Darija · gated · k=1,200,0.79,0.695,0.39142973021381544,0.175,449.26,0.9212121212121213
H,Darija · gold passage,200,1.0,0.765,0.4316092599947277,0.125,449.375,0.9542857142857143
