cond,condition,n,gold_in_context,correct_old,correct_new,faithful_new,refusal,faithful_answered
A,MSA · retrieval · k=5,200,0.95,0.875,0.81,0.885,0.06,0.9414893617021277
B,Darija · retrieval · k=5,200,0.905,0.78,0.69,0.735,0.2,0.91875
C,Darija · retrieval · k=1,200,0.62,0.575,0.56,0.61,0.31,0.8840579710144928
D,Darija · normalised · k=5,200,0.87,0.72,0.635,0.695,0.19,0.8580246913580247
E,Darija · reranked · k=5,200,0.96,0.77,0.685,0.75,0.155,0.8875739644970414
F,Darija · reranked · k=1,200,0.8,0.7,0.705,0.77,0.16,0.9166666666666666
G,Darija · gated · k=1,200,0.79,0.69,0.695,0.76,0.175,0.9212121212121213
H,Darija · gold passage,200,1.0,0.75,0.765,0.835,0.125,0.9542857142857143
