comparison,a,b,diff,lo,hi,p_raw,significant,p_holm,sig_holm
Dialect gap in answers (k=5),B,A,-0.12,-0.19,-0.055,0.00025,yes,0.002,yes
Cost of k=1 without reranking,C,B,-0.13,-0.2,-0.06,0.0005,yes,0.003,yes
Reranking at k=1,F,C,0.145,0.095,0.2,0.00025,yes,0.002,yes
Reranked k=1 vs retrieval k=5,F,B,0.015,-0.05,0.08,0.711,no,1.0,no
Reranking at k=5,E,B,-0.005,-0.055,0.045,0.9215,no,1.0,no
"Normalisation, end to end",D,B,-0.055,-0.12,0.01,0.111,no,0.444,no
Gating vs always reranking (k=1),G,F,-0.01,-0.025,0.0,0.2785,no,0.8355000000000001,no
Headroom to the oracle,H,F,0.06,0.025,0.1,0.0015,yes,0.0075,yes
